CaseRk,CaseId,ValidFromDate,CaseTypeCd,CaseStatus,Priority,CaseDesc,LockedBy,CreateUserId,CreateDate,UpdateUserId,AsssignedTime,ActionUser,Action,ReleasedDate,DurationsInSeconds,DurationsInMinutes,DurationsInHours,DurationsInDays
WEB-14,Sanction Web search,Sanction Terminated,High,Manual Search,,01/02/2022 15:50:59,admin,01/08/2022 15:58:50,Mazen,Sanction Terminated,02/08/2022 14:43:27,"81,877.00",1365,23,1
WEB-15,Sanction Web search,Sanction Closed,High,Manual Search,,01/02/2022 17:16:17,admin,01/08/2022 17:16:24,Mazen,Sanction Closed,02/08/2022 12:52:00,"70,536.00",1176,19,1
WEB-16,Sanction Web search,Sanction Closed,High,Manual Search,,01/02/2022 17:21:51,admin,01/08/2022 17:21:58,Mazen,Sanction Closed,02/08/2022 14:43:16,"76,878.00",1282,21,1
BULK-27,Sanction BULK,Sanction Closed,High,BULK,,02/02/2022 15:48:27,admin,02/08/2022 15:48:39,Mazen,Maker Accept,03/08/2022 09:57:07,"65,308.00",1089,18,1
BULK-27,Sanction BULK,Sanction Closed,High,BULK,,02/02/2022 15:48:27,admin,02/08/2022 15:48:39,Mazen,Sanction Closed,03/08/2022 09:57:13,"65,314.00",1089,18,1
BULK-28,Sanction BULK,Sanction Closed,Low,BULK,,02/02/2022 15:48:27,admin,03/08/2022 09:57:23,Hisham,Maker Accept,03/08/2022 09:57:36,13.00,0,0,0
BULK-28,Sanction BULK,Sanction Closed,Low,BULK,,02/02/2022 15:48:27,admin,03/08/2022 09:57:23,Hisham,Checker Return,03/08/2022 09:57:41,18.00,0,0,0
BULK-28,Sanction BULK,Sanction Closed,Low,BULK,,02/02/2022 15:48:27,admin,03/08/2022 09:57:23,Hisham,Maker Accept,03/08/2022 09:57:46,23.00,0,0,0
BULK-28,Sanction BULK,Sanction Closed,Low,BULK,,02/02/2022 15:48:27,admin,03/08/2022 09:57:23,Hisham,Sanction Closed,03/08/2022 09:57:51,28.00,0,0,0
BULK-24,Sanction BULK,Sanction Terminated,High,BULK,,02/02/2022 15:48:28,admin,03/08/2022 09:58:02,Hisham,Maker Accept,03/08/2022 09:58:11,9.00,0,0,0
